tag,taggable_id,taggable_type
Arizona,380,politician
US Representative,380,politician
Republican Party,381,politician
South Carolina,381,politician
US Representative,381,politician
Republican Party,382,politician
Arkansas,382,politician
US Representative,382,politician
Republican Party,383,politician
Virginia,383,politician
US Representative,383,politician
Republican Party,384,politician
New York,384,politician
US Representative,384,politician
Republican Party,385,politician
New Hampshire,385,politician
US Representative,385,politician
Democratic Party,386,politician
Hawaii,386,politician
US Representative,386,politician
Democratic Party,387,politician
Arizona,387,politician
US Representative,387,politician
Republican Party,388,politician
Wisconsin,388,politician
US Representative,388,politician
Republican Party,389,politician
Louisiana,389,politician
US Representative,389,politician
Republican Party,390,politician
Florida,390,politician
US Representative,390,politician
Republican Party,391,politician
Wisconsin,391,politician
US Representative,391,politician
Republican Party,392,politician
Virginia,392,politician
US Representative,392,politician
Democratic Party,393,politician
Texas,393,politician
US Representative,393,politician
Democratic Party,394,politician
New Jersey,394,politician
US Representative,394,politician
Republican Party,395,politician
Texas,395,politician
US Representative,395,politician
Democratic Party,396,politician
Iowa,396,politician
Senator,396,politician
Democratic Party,397,politician
California,397,politician
US Representative,397,politician
Republican Party,398,politician
Illinois,398,politician
US Representative,398,politician
Democratic Party,399,politician
Florida,399,politician
US Representative,399,politician
Republican Party,400,politician
Washington,400,politician
US Representative,400,politician
Republican Party,401,politician
Utah,401,politician
Senator,401,politician
Republican Party,402,politician
California,402,politician
US Representative,402,politician
Democratic Party,403,politician
New York,403,politician
US Representative,403,politician
Democratic Party,404,politician
Texas,404,politician
US Representative,404,politician
Republican Party,405,politician
Ohio,405,politician
US Representative,405,politician
Republican Party,406,politician
Michigan,406,politician
US Representative,406,politician
Democratic Party,407,politician
Pennsylvania,407,politician
US Representative,407,politician
Democratic Party,408,politician
Oregon,408,politician
US Representative,408,politician
Democratic Party,409,politician
Maryland,409,politician
US Representative,409,politician
Republican Party,410,politician
Missouri,410,politician
US Representative,410,politician
Republican Party,411,politician
California,411,politician
US Representative,411,politician
Republican Party,412,politician
Texas,412,politician
Senator,412,politician
Republican Party,413,politician
Nebraska,413,politician
Senator,413,politician
Republican Party,414,politician
North Carolina,414,politician
US Representative,414,politician
Democratic Party,415,politician
Indiana,415,politician
US Representative,415,politician
Democratic Party,416,politician
New Jersey,416,politician
US Representative,416,politician
Democratic Party,417,politician
California,417,politician
US Representative,417,politician
Republican Party,418,politician
Texas,418,politician
US Representative,418,politician
Democratic Party,419,politician
South Dakota,419,politician
US Representative,419,politician
Democratic Party,420,politician
New York,420,politician
US Representative,420,politician
Democratic Party,421,politician
New York,421,politician
US Representative,421,politician
Democratic Party,422,politician
Illinois,422,politician
US Representative,422,politician
Republican Party,423,politician
Nevada,423,politician
Senator,423,politician
Democratic Party,424,politician
Hawaii,424,politician
Senator,424,politician
Democratic Party,425,politician
New Hampshire,425,politician
US Representative,425,politician
Democratic Party,426,politician
Illinois,426,politician
US Representative,426,politician
Republican Party,427,politician
Mississippi,427,politician
US Representative,427,politician
Democratic Party,428,politician
New Mexico,428,politician
Senator,428,politician
Democratic Party,429,politician
Connecticut,429,politician
US Representative,429,politician
Republican Party,430,politician
California,430,politician
US Representative,430,politician
Democratic Party,431,politician
North Carolina,431,politician
Senator,431,politician
Democratic Party,432,politician
Hawaii,432,politician
US Representative,432,politician
Republican Party,433,politician
New York,433,politician
US Representative,433,politician
Republican Party,434,politician
Maryland,434,politician
US Representative,434,politician
Republican Party,435,politician
Missouri,435,politician
US Representative,435,politician
