legal_name,last_name,first_name,temp,tags,flip_background,flop_background
Steve J. Chabot,Chabot,Steve J.,Steve J. Chabot,"Republican Party, Ohio, US Representative",steve_chabot_red.png,steve_chabot_blue.png
Saxby  Chambliss,Chambliss,Saxby,Saxby Chambliss,"Republican Party, Georgia, Senator",saxby_chambliss_red.png,saxby_chambliss_blue.png
James E. Clyburn,Clyburn,James E.,James E. Clyburn,"Democratic Party, South Carolina, US Representative",james_clyburn_red.png,james_clyburn_blue.png
Daniel Ray Coats,Coats,Daniel Ray,Daniel Ray Coats,"Republican Party, Indiana, Senator",daniel_coats_red.png,daniel_coats_blue.png
Howard  Coble,Coble,Howard,Howard Coble,"Republican Party, North Carolina, US Representative",howard_coble_red.png,howard_coble_blue.png
Thomas A. Coburn,Coburn,Thomas A.,Thomas A. Coburn,"Republican Party, Oklahoma, Senator",thomas_coburn_red.png,thomas_coburn_blue.png
Thad  Cochran,Cochran,Thad,Thad Cochran,"Republican Party, Mississippi, Senator",thad_cochran_red.png,thad_cochran_blue.png
Kent Kent Conrad,Conrad,Kent Kent,Kent Kent Conrad,"Democratic Party, North Dakota, Senator",kent_conrad_red.png,kent_conrad_blue.png
John  Conyers,Conyers,John,John Conyers,"Democratic Party, Michigan, US Representative",john_conyers_red.png,john_conyers_blue.png
Jim  Cooper,Cooper,Jim,Jim Cooper,"Democratic Party, Tennessee, US Representative",jim_cooper_red.png,jim_cooper_blue.png
Jerry F. Costello,Costello,Jerry F.,Jerry F. Costello,"Democratic Party, Illinois, US Representative",jerry_costello_red.png,jerry_costello_blue.png
Larry E. Craig,Craig,Larry E.,Larry E. Craig,"Republican Party, Idaho, Senator",larry_craig_red.png,larry_craig_blue.png
Robert E. Cramer,Cramer,Robert E.,Robert E. Cramer,"Democratic Party, Alabama, US Representative",robert_cramer_red.png,robert_cramer_blue.png
Michael D. Crapo,Crapo,Michael D.,Michael D. Crapo,"Republican Party, Idaho, Senator",michael_crapo_red.png,michael_crapo_blue.png
Barbara L. Cubin,Cubin,Barbara L.,Barbara L. Cubin,"Republican Party, Wyoming, US Representative",barbara_cubin_red.png,barbara_cubin_blue.png
Elijah E. Cummings,Cummings,Elijah E.,Elijah E. Cummings,"Democratic Party, Maryland, US Representative",elijah_cummings_red.png,elijah_cummings_blue.png
Susan M. Collins,Collins,Susan M.,Susan M. Collins,"Republican Party, Maine, Senator",susan_collins_red.png,susan_collins_blue.png
Lois  Capps,Capps,Lois,Lois Capps,"Democratic Party, California, US Representative",lois_capps_red.png,lois_capps_blue.png
Michael E. Capuano,Capuano,Michael E.,Michael E. Capuano,"Democratic Party, Massachusetts, US Representative",michael_capuano_red.png,michael_capuano_blue.png
Joseph  Crowley,Crowley,Joseph,Joseph Crowley,"Democratic Party, New York, US Representative",joseph_crowley_red.png,joseph_crowley_blue.png
Ander  Crenshaw,Crenshaw,Ander,Ander Crenshaw,"Republican Party, Florida, US Representative",ander_crenshaw_red.png,ander_crenshaw_blue.png
Eric I. Cantor,Cantor,Eric I.,Eric I. Cantor,"Republican Party, Virginia, US Representative",eric_cantor_red.png,eric_cantor_blue.png
Shelley Moore Capito,Capito,Shelley Moore,Shelley Moore Capito,"Republican Party, West Virginia, Senator",shelley_capito_red.png,shelley_capito_blue.png
John Abney Culberson,Culberson,John Abney,John Abney Culberson,"Republican Party, Texas, US Representative",john_culberson_red.png,john_culberson_blue.png
Wm. Lacy Clay,Clay,Wm. Lacy,Wm. Lacy Clay,"Democratic Party, Missouri, US Representative",wm._clay_red.png,wm._clay_blue.png
Dennis A. Cardoza,Cardoza,Dennis A.,Dennis A. Cardoza,"Democratic Party, California, US Representative",dennis_cardoza_red.png,dennis_cardoza_blue.png
